,Municipio,Año,Sexo,Tipo,Defunciones
0,        Arrecife,2021,Hombres,I. CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,"37,28"
1,        Haría,2021,Hombres,I. CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,"0,00"
2,        San Bartolomé,2021,Hombres,I. CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,"21,09"
3,        Teguise,2021,Hombres,I. CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,"17,14"
4,        Tías,2021,Hombres,I. CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,"46,80"
5,        Tinajo,2021,Hombres,I. CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,"0,00"
6,        Yaiza,2021,Hombres,I. CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,"11,41"
7,        Antigua,2021,Hombres,I. CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,"0,00"
8,        Betancuria,2021,Hombres,I. CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,"0,00"
9,        Oliva (La),2021,Hombres,I. CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,"34,64"
10,        Pájara,2021,Hombres,I. CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,"0,00"
11,        Puerto del Rosario,2021,Hombres,I. CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,"23,73"
12,        Tuineje,2021,Hombres,I. CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,"25,29"
13,        Agaete,2021,Hombres,I. CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,"0,00"
14,        Agüimes,2021,Hombres,I. CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,"24,72"
15,        Artenara,2021,Hombres,I. CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,"0,00"
16,        Arucas,2021,Hombres,I. CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,"26,17"
17,        Firgas,2021,Hombres,I. CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,"26,22"
18,        Gáldar,2021,Hombres,I. CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,"32,59"
19,        Ingenio,2021,Hombres,I. CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,"6,24"
20,        Mogán,2021,Hombres,I. CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,"28,48"
21,        Moya,2021,Hombres,I. CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,"0,00"
22,        Palmas de Gran Canaria (Las),2021,Hombres,I. CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,"49,89"
24,        Aldea de San Nicolás (La),2021,Hombres,I. CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,"25,77"
25,        Santa Brígida,2021,Hombres,I. CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,"32,81"
26,        Santa Lucía,2021,Hombres,I. CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,"38,00"
27,        Santa María de Guía,2021,Hombres,I. CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,"28,97"
28,        Tejeda,2021,Hombres,I. CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,"99,60"
29,        Telde,2021,Hombres,I. CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,"39,69"
30,        Teror,2021,Hombres,I. CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,"61,80"
32,        Valleseco,2021,Hombres,I. CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,"0,00"
33,        Vega de San Mateo,2021,Hombres,I. CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,"76,05"
35,        Arrecife,2020,Hombres,I. CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,"21,59"
