TIME_PERIOD#es,TIME_PERIOD_CODE,SEXO#es,SEXO_CODE,TERRITORIO#es,TERRITORIO_CODE,ACTIVIDAD_ECONOMICA#es,ACTIVIDAD_ECONOMICA_CODE,OBS_VALUE,NOTAS_OBSERVACION#es,CONFIDENCIALIDAD_OBSERVACION#es,ESTADO_OBSERVACION#es
2021 Cuarto trimestre,2021-Q4,Mujeres,F,Artenara,35005,Servicios,A4_04,156,,,
2021 Cuarto trimestre,2021-Q4,Hombres,M,Artenara,35005,Servicios,A4_04,201,,,
2021 Cuarto trimestre,2021-Q4,Total,_T,Artenara,35005,Servicios,A4_04,357,,,
2021 Tercer trimestre,2021-Q3,Mujeres,F,Artenara,35005,Servicios,A4_04,152,,,
2021 Tercer trimestre,2021-Q3,Hombres,M,Artenara,35005,Servicios,A4_04,198,,,
2021 Tercer trimestre,2021-Q3,Total,_T,Artenara,35005,Servicios,A4_04,350,,,
2021 Segundo trimestre,2021-Q2,Mujeres,F,Artenara,35005,Servicios,A4_04,146,,,
2021 Segundo trimestre,2021-Q2,Hombres,M,Artenara,35005,Servicios,A4_04,195,,,
2021 Segundo trimestre,2021-Q2,Total,_T,Artenara,35005,Servicios,A4_04,341,,,
2021 Primer trimestre,2021-Q1,Mujeres,F,Artenara,35005,Servicios,A4_04,147,,,
2021 Primer trimestre,2021-Q1,Hombres,M,Artenara,35005,Servicios,A4_04,191,,,
2021 Primer trimestre,2021-Q1,Total,_T,Artenara,35005,Servicios,A4_04,338,,,
2020 Cuarto trimestre,2020-Q4,Mujeres,F,Artenara,35005,Servicios,A4_04,161,,,
2020 Cuarto trimestre,2020-Q4,Hombres,M,Artenara,35005,Servicios,A4_04,193,,,
2020 Cuarto trimestre,2020-Q4,Total,_T,Artenara,35005,Servicios,A4_04,354,,,
2020 Tercer trimestre,2020-Q3,Mujeres,F,Artenara,35005,Servicios,A4_04,158,,,
2020 Tercer trimestre,2020-Q3,Hombres,M,Artenara,35005,Servicios,A4_04,197,,,
2020 Tercer trimestre,2020-Q3,Total,_T,Artenara,35005,Servicios,A4_04,355,,,
2020 Segundo trimestre,2020-Q2,Mujeres,F,Artenara,35005,Servicios,A4_04,148,,,
2020 Segundo trimestre,2020-Q2,Hombres,M,Artenara,35005,Servicios,A4_04,199,,,
2020 Segundo trimestre,2020-Q2,Total,_T,Artenara,35005,Servicios,A4_04,347,,,
2020 Primer trimestre,2020-Q1,Mujeres,F,Artenara,35005,Servicios,A4_04,160,,,
2020 Primer trimestre,2020-Q1,Hombres,M,Artenara,35005,Servicios,A4_04,200,,,
2020 Primer trimestre,2020-Q1,Total,_T,Artenara,35005,Servicios,A4_04,360,,,
2019 Cuarto trimestre,2019-Q4,Mujeres,F,Artenara,35005,Servicios,A4_04,161,,,
2019 Cuarto trimestre,2019-Q4,Hombres,M,Artenara,35005,Servicios,A4_04,202,,,
2019 Cuarto trimestre,2019-Q4,Total,_T,Artenara,35005,Servicios,A4_04,363,,,
2019 Tercer trimestre,2019-Q3,Mujeres,F,Artenara,35005,Servicios,A4_04,159,,,
2019 Tercer trimestre,2019-Q3,Hombres,M,Artenara,35005,Servicios,A4_04,209,,,
2019 Tercer trimestre,2019-Q3,Total,_T,Artenara,35005,Servicios,A4_04,368,,,
2019 Segundo trimestre,2019-Q2,Mujeres,F,Artenara,35005,Servicios,A4_04,171,,,
2019 Segundo trimestre,2019-Q2,Hombres,M,Artenara,35005,Servicios,A4_04,203,,,
2019 Segundo trimestre,2019-Q2,Total,_T,Artenara,35005,Servicios,A4_04,374,,,
2019 Primer trimestre,2019-Q1,Mujeres,F,Artenara,35005,Servicios,A4_04,168,,,
2019 Primer trimestre,2019-Q1,Hombres,M,Artenara,35005,Servicios,A4_04,198,,,
2019 Primer trimestre,2019-Q1,Total,_T,Artenara,35005,Servicios,A4_04,366,,,
2021 Cuarto trimestre,2021-Q4,Mujeres,F,Artenara,35005,"Agricultura, ganadería, silvicultura y pesca",A4_01,4,,,
2021 Cuarto trimestre,2021-Q4,Hombres,M,Artenara,35005,"Agricultura, ganadería, silvicultura y pesca",A4_01,14,,,
