TIME_PERIOD#es,TIME_PERIOD_CODE,SEXO#es,SEXO_CODE,TERRITORIO#es,TERRITORIO_CODE,ACTIVIDAD_ECONOMICA#es,ACTIVIDAD_ECONOMICA_CODE,OBS_VALUE,NOTAS_OBSERVACION#es,CONFIDENCIALIDAD_OBSERVACION#es,ESTADO_OBSERVACION#es
2021 Cuarto trimestre,2021-Q4,Hombres,M,Arrecife,35004,Servicios,A4_04,1691,,,
2021 Cuarto trimestre,2021-Q4,Mujeres,F,Arrecife,35004,Servicios,A4_04,2837,,,
2021 Tercer trimestre,2021-Q3,Hombres,M,Arrecife,35004,Servicios,A4_04,1983,,,
2021 Tercer trimestre,2021-Q3,Mujeres,F,Arrecife,35004,Servicios,A4_04,3294,,,
2021 Segundo trimestre,2021-Q2,Hombres,M,Arrecife,35004,Servicios,A4_04,3275,,,
2021 Segundo trimestre,2021-Q2,Mujeres,F,Arrecife,35004,Servicios,A4_04,4659,,,
2021 Primer trimestre,2021-Q1,Hombres,M,Arrecife,35004,Servicios,A4_04,3439,,,
2021 Primer trimestre,2021-Q1,Mujeres,F,Arrecife,35004,Servicios,A4_04,4701,,,
2020 Cuarto trimestre,2020-Q4,Hombres,M,Arrecife,35004,Servicios,A4_04,3192,,,
2020 Cuarto trimestre,2020-Q4,Mujeres,F,Arrecife,35004,Servicios,A4_04,4411,,,
2020 Tercer trimestre,2020-Q3,Hombres,M,Arrecife,35004,Servicios,A4_04,2893,,,
2020 Tercer trimestre,2020-Q3,Mujeres,F,Arrecife,35004,Servicios,A4_04,4169,,,
2020 Segundo trimestre,2020-Q2,Hombres,M,Arrecife,35004,Servicios,A4_04,2962,,,
2020 Segundo trimestre,2020-Q2,Mujeres,F,Arrecife,35004,Servicios,A4_04,4254,,,
2020 Primer trimestre,2020-Q1,Hombres,M,Arrecife,35004,Servicios,A4_04,2053,,,
2020 Primer trimestre,2020-Q1,Mujeres,F,Arrecife,35004,Servicios,A4_04,3271,,,
2019 Cuarto trimestre,2019-Q4,Hombres,M,Arrecife,35004,Servicios,A4_04,1811,,,
2019 Cuarto trimestre,2019-Q4,Mujeres,F,Arrecife,35004,Servicios,A4_04,2951,,,
2019 Tercer trimestre,2019-Q3,Hombres,M,Arrecife,35004,Servicios,A4_04,1617,,,
2019 Tercer trimestre,2019-Q3,Mujeres,F,Arrecife,35004,Servicios,A4_04,2871,,,
2019 Segundo trimestre,2019-Q2,Hombres,M,Arrecife,35004,Servicios,A4_04,1631,,,
2019 Segundo trimestre,2019-Q2,Mujeres,F,Arrecife,35004,Servicios,A4_04,2868,,,
2019 Primer trimestre,2019-Q1,Hombres,M,Arrecife,35004,Servicios,A4_04,1829,,,
2019 Primer trimestre,2019-Q1,Mujeres,F,Arrecife,35004,Servicios,A4_04,3059,,,
2021 Cuarto trimestre,2021-Q4,Hombres,M,Arrecife,35004,"Agricultura, ganadería, silvicultura y pesca",A4_01,39,,,
2021 Cuarto trimestre,2021-Q4,Mujeres,F,Arrecife,35004,"Agricultura, ganadería, silvicultura y pesca",A4_01,9,,,
2021 Tercer trimestre,2021-Q3,Hombres,M,Arrecife,35004,"Agricultura, ganadería, silvicultura y pesca",A4_01,51,,,
2021 Tercer trimestre,2021-Q3,Mujeres,F,Arrecife,35004,"Agricultura, ganadería, silvicultura y pesca",A4_01,10,,,
2021 Segundo trimestre,2021-Q2,Hombres,M,Arrecife,35004,"Agricultura, ganadería, silvicultura y pesca",A4_01,71,,,
2021 Segundo trimestre,2021-Q2,Mujeres,F,Arrecife,35004,"Agricultura, ganadería, silvicultura y pesca",A4_01,16,,,
2021 Primer trimestre,2021-Q1,Hombres,M,Arrecife,35004,"Agricultura, ganadería, silvicultura y pesca",A4_01,71,,,
2021 Primer trimestre,2021-Q1,Mujeres,F,Arrecife,35004,"Agricultura, ganadería, silvicultura y pesca",A4_01,12,,,
2020 Cuarto trimestre,2020-Q4,Hombres,M,Arrecife,35004,"Agricultura, ganadería, silvicultura y pesca",A4_01,68,,,
2020 Cuarto trimestre,2020-Q4,Mujeres,F,Arrecife,35004,"Agricultura, ganadería, silvicultura y pesca",A4_01,12,,,
2020 Tercer trimestre,2020-Q3,Hombres,M,Arrecife,35004,"Agricultura, ganadería, silvicultura y pesca",A4_01,65,,,
2020 Tercer trimestre,2020-Q3,Mujeres,F,Arrecife,35004,"Agricultura, ganadería, silvicultura y pesca",A4_01,12,,,
2020 Segundo trimestre,2020-Q2,Hombres,M,Arrecife,35004,"Agricultura, ganadería, silvicultura y pesca",A4_01,59,,,
2020 Segundo trimestre,2020-Q2,Mujeres,F,Arrecife,35004,"Agricultura, ganadería, silvicultura y pesca",A4_01,11,,,
2020 Primer trimestre,2020-Q1,Hombres,M,Arrecife,35004,"Agricultura, ganadería, silvicultura y pesca",A4_01,41,,,
2020 Primer trimestre,2020-Q1,Mujeres,F,Arrecife,35004,"Agricultura, ganadería, silvicultura y pesca",A4_01,8,,,
2019 Cuarto trimestre,2019-Q4,Hombres,M,Arrecife,35004,"Agricultura, ganadería, silvicultura y pesca",A4_01,35,,,
2019 Cuarto trimestre,2019-Q4,Mujeres,F,Arrecife,35004,"Agricultura, ganadería, silvicultura y pesca",A4_01,8,,,
2019 Tercer trimestre,2019-Q3,Hombres,M,Arrecife,35004,"Agricultura, ganadería, silvicultura y pesca",A4_01,33,,,
2019 Tercer trimestre,2019-Q3,Mujeres,F,Arrecife,35004,"Agricultura, ganadería, silvicultura y pesca",A4_01,6,,,
2019 Segundo trimestre,2019-Q2,Hombres,M,Arrecife,35004,"Agricultura, ganadería, silvicultura y pesca",A4_01,34,,,
2019 Segundo trimestre,2019-Q2,Mujeres,F,Arrecife,35004,"Agricultura, ganadería, silvicultura y pesca",A4_01,9,,,
2019 Primer trimestre,2019-Q1,Hombres,M,Arrecife,35004,"Agricultura, ganadería, silvicultura y pesca",A4_01,38,,,
2019 Primer trimestre,2019-Q1,Mujeres,F,Arrecife,35004,"Agricultura, ganadería, silvicultura y pesca",A4_01,8,,,
2021 Cuarto trimestre,2021-Q4,Hombres,M,Arrecife,35004,Industria,A4_02,84,,,
2021 Cuarto trimestre,2021-Q4,Mujeres,F,Arrecife,35004,Industria,A4_02,61,,,
2021 Tercer trimestre,2021-Q3,Hombres,M,Arrecife,35004,Industria,A4_02,111,,,
2021 Tercer trimestre,2021-Q3,Mujeres,F,Arrecife,35004,Industria,A4_02,64,,,
2021 Segundo trimestre,2021-Q2,Hombres,M,Arrecife,35004,Industria,A4_02,147,,,
2021 Segundo trimestre,2021-Q2,Mujeres,F,Arrecife,35004,Industria,A4_02,85,,,
2021 Primer trimestre,2021-Q1,Hombres,M,Arrecife,35004,Industria,A4_02,152,,,
2021 Primer trimestre,2021-Q1,Mujeres,F,Arrecife,35004,Industria,A4_02,89,,,
2020 Cuarto trimestre,2020-Q4,Hombres,M,Arrecife,35004,Industria,A4_02,143,,,
2020 Cuarto trimestre,2020-Q4,Mujeres,F,Arrecife,35004,Industria,A4_02,72,,,
2020 Tercer trimestre,2020-Q3,Hombres,M,Arrecife,35004,Industria,A4_02,139,,,
2020 Tercer trimestre,2020-Q3,Mujeres,F,Arrecife,35004,Industria,A4_02,73,,,
2020 Segundo trimestre,2020-Q2,Hombres,M,Arrecife,35004,Industria,A4_02,149,,,
2020 Segundo trimestre,2020-Q2,Mujeres,F,Arrecife,35004,Industria,A4_02,79,,,
2020 Primer trimestre,2020-Q1,Hombres,M,Arrecife,35004,Industria,A4_02,126,,,
2020 Primer trimestre,2020-Q1,Mujeres,F,Arrecife,35004,Industria,A4_02,63,,,
2019 Cuarto trimestre,2019-Q4,Hombres,M,Arrecife,35004,Industria,A4_02,117,,,
2019 Cuarto trimestre,2019-Q4,Mujeres,F,Arrecife,35004,Industria,A4_02,55,,,
2019 Tercer trimestre,2019-Q3,Hombres,M,Arrecife,35004,Industria,A4_02,112,,,
2019 Tercer trimestre,2019-Q3,Mujeres,F,Arrecife,35004,Industria,A4_02,52,,,
2019 Segundo trimestre,2019-Q2,Hombres,M,Arrecife,35004,Industria,A4_02,109,,,
2019 Segundo trimestre,2019-Q2,Mujeres,F,Arrecife,35004,Industria,A4_02,50,,,
2019 Primer trimestre,2019-Q1,Hombres,M,Arrecife,35004,Industria,A4_02,109,,,
2019 Primer trimestre,2019-Q1,Mujeres,F,Arrecife,35004,Industria,A4_02,49,,,
2021 Cuarto trimestre,2021-Q4,Hombres,M,Arrecife,35004,Dato desconocido,_U,139,,,
2021 Cuarto trimestre,2021-Q4,Mujeres,F,Arrecife,35004,Dato desconocido,_U,368,,,
2021 Tercer trimestre,2021-Q3,Hombres,M,Arrecife,35004,Dato desconocido,_U,174,,,
2021 Tercer trimestre,2021-Q3,Mujeres,F,Arrecife,35004,Dato desconocido,_U,402,,,
2021 Segundo trimestre,2021-Q2,Hombres,M,Arrecife,35004,Dato desconocido,_U,334,,,
2021 Segundo trimestre,2021-Q2,Mujeres,F,Arrecife,35004,Dato desconocido,_U,638,,,
2021 Primer trimestre,2021-Q1,Hombres,M,Arrecife,35004,Dato desconocido,_U,299,,,
2021 Primer trimestre,2021-Q1,Mujeres,F,Arrecife,35004,Dato desconocido,_U,574,,,
2020 Cuarto trimestre,2020-Q4,Hombres,M,Arrecife,35004,Dato desconocido,_U,278,,,
2020 Cuarto trimestre,2020-Q4,Mujeres,F,Arrecife,35004,Dato desconocido,_U,537,,,
2020 Tercer trimestre,2020-Q3,Hombres,M,Arrecife,35004,Dato desconocido,_U,238,,,
2020 Tercer trimestre,2020-Q3,Mujeres,F,Arrecife,35004,Dato desconocido,_U,490,,,
2020 Segundo trimestre,2020-Q2,Hombres,M,Arrecife,35004,Dato desconocido,_U,181,,,
2020 Segundo trimestre,2020-Q2,Mujeres,F,Arrecife,35004,Dato desconocido,_U,401,,,
2020 Primer trimestre,2020-Q1,Hombres,M,Arrecife,35004,Dato desconocido,_U,130,,,
2020 Primer trimestre,2020-Q1,Mujeres,F,Arrecife,35004,Dato desconocido,_U,348,,,
2019 Cuarto trimestre,2019-Q4,Hombres,M,Arrecife,35004,Dato desconocido,_U,140,,,
2019 Cuarto trimestre,2019-Q4,Mujeres,F,Arrecife,35004,Dato desconocido,_U,346,,,
2019 Tercer trimestre,2019-Q3,Hombres,M,Arrecife,35004,Dato desconocido,_U,154,,,
2019 Tercer trimestre,2019-Q3,Mujeres,F,Arrecife,35004,Dato desconocido,_U,338,,,
2019 Segundo trimestre,2019-Q2,Hombres,M,Arrecife,35004,Dato desconocido,_U,132,,,
2019 Segundo trimestre,2019-Q2,Mujeres,F,Arrecife,35004,Dato desconocido,_U,337,,,
2019 Primer trimestre,2019-Q1,Hombres,M,Arrecife,35004,Dato desconocido,_U,132,,,
2019 Primer trimestre,2019-Q1,Mujeres,F,Arrecife,35004,Dato desconocido,_U,317,,,
2021 Cuarto trimestre,2021-Q4,Hombres,M,Arrecife,35004,Construcción,A4_03,556,,,
2021 Cuarto trimestre,2021-Q4,Mujeres,F,Arrecife,35004,Construcción,A4_03,61,,,
2021 Tercer trimestre,2021-Q3,Hombres,M,Arrecife,35004,Construcción,A4_03,535,,,
2021 Tercer trimestre,2021-Q3,Mujeres,F,Arrecife,35004,Construcción,A4_03,65,,,
2021 Segundo trimestre,2021-Q2,Hombres,M,Arrecife,35004,Construcción,A4_03,754,,,
2021 Segundo trimestre,2021-Q2,Mujeres,F,Arrecife,35004,Construcción,A4_03,77,,,
2021 Primer trimestre,2021-Q1,Hombres,M,Arrecife,35004,Construcción,A4_03,762,,,
2021 Primer trimestre,2021-Q1,Mujeres,F,Arrecife,35004,Construcción,A4_03,78,,,
2020 Cuarto trimestre,2020-Q4,Hombres,M,Arrecife,35004,Construcción,A4_03,726,,,
2020 Cuarto trimestre,2020-Q4,Mujeres,F,Arrecife,35004,Construcción,A4_03,74,,,
2020 Tercer trimestre,2020-Q3,Hombres,M,Arrecife,35004,Construcción,A4_03,621,,,
2020 Tercer trimestre,2020-Q3,Mujeres,F,Arrecife,35004,Construcción,A4_03,66,,,
2020 Segundo trimestre,2020-Q2,Hombres,M,Arrecife,35004,Construcción,A4_03,631,,,
2020 Segundo trimestre,2020-Q2,Mujeres,F,Arrecife,35004,Construcción,A4_03,61,,,
2020 Primer trimestre,2020-Q1,Hombres,M,Arrecife,35004,Construcción,A4_03,551,,,
2020 Primer trimestre,2020-Q1,Mujeres,F,Arrecife,35004,Construcción,A4_03,57,,,
2019 Cuarto trimestre,2019-Q4,Hombres,M,Arrecife,35004,Construcción,A4_03,562,,,
2019 Cuarto trimestre,2019-Q4,Mujeres,F,Arrecife,35004,Construcción,A4_03,57,,,
2019 Tercer trimestre,2019-Q3,Hombres,M,Arrecife,35004,Construcción,A4_03,549,,,
2019 Tercer trimestre,2019-Q3,Mujeres,F,Arrecife,35004,Construcción,A4_03,58,,,
2019 Segundo trimestre,2019-Q2,Hombres,M,Arrecife,35004,Construcción,A4_03,523,,,
2019 Segundo trimestre,2019-Q2,Mujeres,F,Arrecife,35004,Construcción,A4_03,67,,,
2019 Primer trimestre,2019-Q1,Hombres,M,Arrecife,35004,Construcción,A4_03,564,,,
2019 Primer trimestre,2019-Q1,Mujeres,F,Arrecife,35004,Construcción,A4_03,69,,,
2021 Cuarto trimestre,2021-Q4,Hombres,M,Arrecife,35004,Total,_T,2509,,,
2021 Cuarto trimestre,2021-Q4,Mujeres,F,Arrecife,35004,Total,_T,3336,,,
2021 Tercer trimestre,2021-Q3,Hombres,M,Arrecife,35004,Total,_T,2854,,,
2021 Tercer trimestre,2021-Q3,Mujeres,F,Arrecife,35004,Total,_T,3835,,,
2021 Segundo trimestre,2021-Q2,Hombres,M,Arrecife,35004,Total,_T,4581,,,
2021 Segundo trimestre,2021-Q2,Mujeres,F,Arrecife,35004,Total,_T,5475,,,
2021 Primer trimestre,2021-Q1,Hombres,M,Arrecife,35004,Total,_T,4723,,,
2021 Primer trimestre,2021-Q1,Mujeres,F,Arrecife,35004,Total,_T,5454,,,
2020 Cuarto trimestre,2020-Q4,Hombres,M,Arrecife,35004,Total,_T,4407,,,
2020 Cuarto trimestre,2020-Q4,Mujeres,F,Arrecife,35004,Total,_T,5106,,,
2020 Tercer trimestre,2020-Q3,Hombres,M,Arrecife,35004,Total,_T,3956,,,
2020 Tercer trimestre,2020-Q3,Mujeres,F,Arrecife,35004,Total,_T,4810,,,
2020 Segundo trimestre,2020-Q2,Hombres,M,Arrecife,35004,Total,_T,3982,,,
2020 Segundo trimestre,2020-Q2,Mujeres,F,Arrecife,35004,Total,_T,4806,,,
2020 Primer trimestre,2020-Q1,Hombres,M,Arrecife,35004,Total,_T,2901,,,
2020 Primer trimestre,2020-Q1,Mujeres,F,Arrecife,35004,Total,_T,3747,,,
2019 Cuarto trimestre,2019-Q4,Hombres,M,Arrecife,35004,Total,_T,2665,,,
2019 Cuarto trimestre,2019-Q4,Mujeres,F,Arrecife,35004,Total,_T,3417,,,
2019 Tercer trimestre,2019-Q3,Hombres,M,Arrecife,35004,Total,_T,2465,,,
2019 Tercer trimestre,2019-Q3,Mujeres,F,Arrecife,35004,Total,_T,3325,,,
2019 Segundo trimestre,2019-Q2,Hombres,M,Arrecife,35004,Total,_T,2429,,,
2019 Segundo trimestre,2019-Q2,Mujeres,F,Arrecife,35004,Total,_T,3331,,,
2019 Primer trimestre,2019-Q1,Hombres,M,Arrecife,35004,Total,_T,2672,,,
2019 Primer trimestre,2019-Q1,Mujeres,F,Arrecife,35004,Total,_T,3502,,,
2021 Cuarto trimestre,2021-Q4,Hombres,M,Haría,35010,Servicios,A4_04,164,,,
2021 Cuarto trimestre,2021-Q4,Mujeres,F,Haría,35010,Servicios,A4_04,197,,,
2021 Tercer trimestre,2021-Q3,Hombres,M,Haría,35010,Servicios,A4_04,180,,,
2021 Tercer trimestre,2021-Q3,Mujeres,F,Haría,35010,Servicios,A4_04,220,,,
2021 Segundo trimestre,2021-Q2,Hombres,M,Haría,35010,Servicios,A4_04,222,,,
2021 Segundo trimestre,2021-Q2,Mujeres,F,Haría,35010,Servicios,A4_04,266,,,
2021 Primer trimestre,2021-Q1,Hombres,M,Haría,35010,Servicios,A4_04,242,,,
2021 Primer trimestre,2021-Q1,Mujeres,F,Haría,35010,Servicios,A4_04,259,,,
2020 Cuarto trimestre,2020-Q4,Hombres,M,Haría,35010,Servicios,A4_04,221,,,
2020 Cuarto trimestre,2020-Q4,Mujeres,F,Haría,35010,Servicios,A4_04,239,,,
2020 Tercer trimestre,2020-Q3,Hombres,M,Haría,35010,Servicios,A4_04,230,,,
2020 Tercer trimestre,2020-Q3,Mujeres,F,Haría,35010,Servicios,A4_04,233,,,
2020 Segundo trimestre,2020-Q2,Hombres,M,Haría,35010,Servicios,A4_04,239,,,
2020 Segundo trimestre,2020-Q2,Mujeres,F,Haría,35010,Servicios,A4_04,250,,,
2020 Primer trimestre,2020-Q1,Hombres,M,Haría,35010,Servicios,A4_04,171,,,
2020 Primer trimestre,2020-Q1,Mujeres,F,Haría,35010,Servicios,A4_04,198,,,
2019 Cuarto trimestre,2019-Q4,Hombres,M,Haría,35010,Servicios,A4_04,163,,,
2019 Cuarto trimestre,2019-Q4,Mujeres,F,Haría,35010,Servicios,A4_04,193,,,
2019 Tercer trimestre,2019-Q3,Hombres,M,Haría,35010,Servicios,A4_04,154,,,
2019 Tercer trimestre,2019-Q3,Mujeres,F,Haría,35010,Servicios,A4_04,179,,,
2019 Segundo trimestre,2019-Q2,Hombres,M,Haría,35010,Servicios,A4_04,136,,,
2019 Segundo trimestre,2019-Q2,Mujeres,F,Haría,35010,Servicios,A4_04,175,,,
2019 Primer trimestre,2019-Q1,Hombres,M,Haría,35010,Servicios,A4_04,146,,,
2019 Primer trimestre,2019-Q1,Mujeres,F,Haría,35010,Servicios,A4_04,177,,,
2021 Cuarto trimestre,2021-Q4,Hombres,M,Haría,35010,"Agricultura, ganadería, silvicultura y pesca",A4_01,5,,,
2021 Cuarto trimestre,2021-Q4,Mujeres,F,Haría,35010,"Agricultura, ganadería, silvicultura y pesca",A4_01,2,,,
2021 Tercer trimestre,2021-Q3,Hombres,M,Haría,35010,"Agricultura, ganadería, silvicultura y pesca",A4_01,4,,,
2021 Tercer trimestre,2021-Q3,Mujeres,F,Haría,35010,"Agricultura, ganadería, silvicultura y pesca",A4_01,2,,,
2021 Segundo trimestre,2021-Q2,Hombres,M,Haría,35010,"Agricultura, ganadería, silvicultura y pesca",A4_01,4,,,
2021 Segundo trimestre,2021-Q2,Mujeres,F,Haría,35010,"Agricultura, ganadería, silvicultura y pesca",A4_01,2,,,
2021 Primer trimestre,2021-Q1,Hombres,M,Haría,35010,"Agricultura, ganadería, silvicultura y pesca",A4_01,4,,,
2021 Primer trimestre,2021-Q1,Mujeres,F,Haría,35010,"Agricultura, ganadería, silvicultura y pesca",A4_01,2,,,
2020 Cuarto trimestre,2020-Q4,Hombres,M,Haría,35010,"Agricultura, ganadería, silvicultura y pesca",A4_01,7,,,
2020 Cuarto trimestre,2020-Q4,Mujeres,F,Haría,35010,"Agricultura, ganadería, silvicultura y pesca",A4_01,1,,,
2020 Tercer trimestre,2020-Q3,Hombres,M,Haría,35010,"Agricultura, ganadería, silvicultura y pesca",A4_01,8,,,
2020 Tercer trimestre,2020-Q3,Mujeres,F,Haría,35010,"Agricultura, ganadería, silvicultura y pesca",A4_01,1,,,
2020 Segundo trimestre,2020-Q2,Hombres,M,Haría,35010,"Agricultura, ganadería, silvicultura y pesca",A4_01,8,,,
2020 Segundo trimestre,2020-Q2,Mujeres,F,Haría,35010,"Agricultura, ganadería, silvicultura y pesca",A4_01,1,,,
2020 Primer trimestre,2020-Q1,Hombres,M,Haría,35010,"Agricultura, ganadería, silvicultura y pesca",A4_01,6,,,
2020 Primer trimestre,2020-Q1,Mujeres,F,Haría,35010,"Agricultura, ganadería, silvicultura y pesca",A4_01,1,,,
2019 Cuarto trimestre,2019-Q4,Hombres,M,Haría,35010,"Agricultura, ganadería, silvicultura y pesca",A4_01,5,,,
2019 Cuarto trimestre,2019-Q4,Mujeres,F,Haría,35010,"Agricultura, ganadería, silvicultura y pesca",A4_01,1,,,
2019 Tercer trimestre,2019-Q3,Hombres,M,Haría,35010,"Agricultura, ganadería, silvicultura y pesca",A4_01,6,,,
2019 Tercer trimestre,2019-Q3,Mujeres,F,Haría,35010,"Agricultura, ganadería, silvicultura y pesca",A4_01,1,,,
2019 Segundo trimestre,2019-Q2,Hombres,M,Haría,35010,"Agricultura, ganadería, silvicultura y pesca",A4_01,8,,,
2019 Segundo trimestre,2019-Q2,Mujeres,F,Haría,35010,"Agricultura, ganadería, silvicultura y pesca",A4_01,1,,,
2019 Primer trimestre,2019-Q1,Hombres,M,Haría,35010,"Agricultura, ganadería, silvicultura y pesca",A4_01,8,,,
2019 Primer trimestre,2019-Q1,Mujeres,F,Haría,35010,"Agricultura, ganadería, silvicultura y pesca",A4_01,1,,,
2021 Cuarto trimestre,2021-Q4,Hombres,M,Haría,35010,Industria,A4_02,8,,,
2021 Cuarto trimestre,2021-Q4,Mujeres,F,Haría,35010,Industria,A4_02,2,,,
2021 Tercer trimestre,2021-Q3,Hombres,M,Haría,35010,Industria,A4_02,9,,,
2021 Tercer trimestre,2021-Q3,Mujeres,F,Haría,35010,Industria,A4_02,3,,,
2021 Segundo trimestre,2021-Q2,Hombres,M,Haría,35010,Industria,A4_02,20,,,
2021 Segundo trimestre,2021-Q2,Mujeres,F,Haría,35010,Industria,A4_02,3,,,
2021 Primer trimestre,2021-Q1,Hombres,M,Haría,35010,Industria,A4_02,20,,,
2021 Primer trimestre,2021-Q1,Mujeres,F,Haría,35010,Industria,A4_02,4,,,
2020 Cuarto trimestre,2020-Q4,Hombres,M,Haría,35010,Industria,A4_02,14,,,
2020 Cuarto trimestre,2020-Q4,Mujeres,F,Haría,35010,Industria,A4_02,3,,,
2020 Tercer trimestre,2020-Q3,Hombres,M,Haría,35010,Industria,A4_02,10,,,
2020 Tercer trimestre,2020-Q3,Mujeres,F,Haría,35010,Industria,A4_02,4,,,
2020 Segundo trimestre,2020-Q2,Hombres,M,Haría,35010,Industria,A4_02,13,,,
2020 Segundo trimestre,2020-Q2,Mujeres,F,Haría,35010,Industria,A4_02,2,,,
2020 Primer trimestre,2020-Q1,Hombres,M,Haría,35010,Industria,A4_02,10,,,
2020 Primer trimestre,2020-Q1,Mujeres,F,Haría,35010,Industria,A4_02,3,,,
2019 Cuarto trimestre,2019-Q4,Hombres,M,Haría,35010,Industria,A4_02,12,,,
2019 Cuarto trimestre,2019-Q4,Mujeres,F,Haría,35010,Industria,A4_02,2,,,
2019 Tercer trimestre,2019-Q3,Hombres,M,Haría,35010,Industria,A4_02,12,,,
2019 Tercer trimestre,2019-Q3,Mujeres,F,Haría,35010,Industria,A4_02,2,,,
2019 Segundo trimestre,2019-Q2,Hombres,M,Haría,35010,Industria,A4_02,11,,,
2019 Segundo trimestre,2019-Q2,Mujeres,F,Haría,35010,Industria,A4_02,2,,,
2019 Primer trimestre,2019-Q1,Hombres,M,Haría,35010,Industria,A4_02,10,,,
2019 Primer trimestre,2019-Q1,Mujeres,F,Haría,35010,Industria,A4_02,2,,,
2021 Cuarto trimestre,2021-Q4,Hombres,M,Haría,35010,Dato desconocido,_U,10,,,
2021 Cuarto trimestre,2021-Q4,Mujeres,F,Haría,35010,Dato desconocido,_U,21,,,
2021 Tercer trimestre,2021-Q3,Hombres,M,Haría,35010,Dato desconocido,_U,10,,,
2021 Tercer trimestre,2021-Q3,Mujeres,F,Haría,35010,Dato desconocido,_U,21,,,
2021 Segundo trimestre,2021-Q2,Hombres,M,Haría,35010,Dato desconocido,_U,23,,,
2021 Segundo trimestre,2021-Q2,Mujeres,F,Haría,35010,Dato desconocido,_U,32,,,
