TERRITORIO#es,TERRITORIO_CODE,SEXO#es,SEXO_CODE,JORNADA_LABORAL_TIPO#es,JORNADA_LABORAL_TIPO_CODE,TIME_PERIOD#es,TIME_PERIOD_CODE,OBS_VALUE,CONFIDENCIALIDAD_OBSERVACION#es,NOTAS_OBSERVACION#es,ESTADO_OBSERVACION#es
Arrecife,35004,Hombres,M,Tiempo completo,FT,2011 Segundo trimestre,2011-Q2,7971,,,
Arrecife,35004,Mujeres,F,Tiempo completo,FT,2011 Segundo trimestre,2011-Q2,6590,,,
Arrecife,35004,Hombres,M,Tiempo completo,FT,2011 Tercer trimestre,2011-Q3,7866,,,
Arrecife,35004,Mujeres,F,Tiempo completo,FT,2011 Tercer trimestre,2011-Q3,6739,,,
Arrecife,35004,Hombres,M,Tiempo completo,FT,2011 Cuarto trimestre,2011-Q4,7455,,,
Arrecife,35004,Mujeres,F,Tiempo completo,FT,2011 Cuarto trimestre,2011-Q4,6462,,,
Arrecife,35004,Hombres,M,Tiempo completo,FT,2012 Primer trimestre,2012-Q1,7374,,,
Arrecife,35004,Mujeres,F,Tiempo completo,FT,2012 Primer trimestre,2012-Q1,6198,,,
Arrecife,35004,Hombres,M,Tiempo completo,FT,2012 Segundo trimestre,2012-Q2,7221,,,
Arrecife,35004,Mujeres,F,Tiempo completo,FT,2012 Segundo trimestre,2012-Q2,6141,,,
Arrecife,35004,Hombres,M,Tiempo completo,FT,2012 Tercer trimestre,2012-Q3,7112,,,
Arrecife,35004,Mujeres,F,Tiempo completo,FT,2012 Tercer trimestre,2012-Q3,6234,,,
Arrecife,35004,Hombres,M,Tiempo completo,FT,2012 Cuarto trimestre,2012-Q4,6847,,,
Arrecife,35004,Mujeres,F,Tiempo completo,FT,2012 Cuarto trimestre,2012-Q4,6061,,,
Arrecife,35004,Hombres,M,Tiempo completo,FT,2013 Primer trimestre,2013-Q1,6840,,,
Arrecife,35004,Mujeres,F,Tiempo completo,FT,2013 Primer trimestre,2013-Q1,5899,,,
Arrecife,35004,Hombres,M,Tiempo completo,FT,2013 Segundo trimestre,2013-Q2,6985,,,
Arrecife,35004,Mujeres,F,Tiempo completo,FT,2013 Segundo trimestre,2013-Q2,5967,,,
Arrecife,35004,Hombres,M,Tiempo completo,FT,2013 Tercer trimestre,2013-Q3,7064,,,
Arrecife,35004,Mujeres,F,Tiempo completo,FT,2013 Tercer trimestre,2013-Q3,6072,,,
Arrecife,35004,Hombres,M,Tiempo completo,FT,2013 Cuarto trimestre,2013-Q4,7037,,,
Arrecife,35004,Mujeres,F,Tiempo completo,FT,2013 Cuarto trimestre,2013-Q4,6210,,,
Arrecife,35004,Hombres,M,Tiempo completo,FT,2014 Primer trimestre,2014-Q1,7215,,,
Arrecife,35004,Mujeres,F,Tiempo completo,FT,2014 Primer trimestre,2014-Q1,6131,,,
Arrecife,35004,Hombres,M,Tiempo completo,FT,2014 Segundo trimestre,2014-Q2,7407,,,
Arrecife,35004,Mujeres,F,Tiempo completo,FT,2014 Segundo trimestre,2014-Q2,6131,,,
Arrecife,35004,Hombres,M,Tiempo completo,FT,2014 Tercer trimestre,2014-Q3,7546,,,
Arrecife,35004,Mujeres,F,Tiempo completo,FT,2014 Tercer trimestre,2014-Q3,6314,,,
Arrecife,35004,Hombres,M,Tiempo completo,FT,2014 Cuarto trimestre,2014-Q4,7518,,,
Arrecife,35004,Mujeres,F,Tiempo completo,FT,2014 Cuarto trimestre,2014-Q4,6526,,,
Arrecife,35004,Hombres,M,Tiempo completo,FT,2015 Primer trimestre,2015-Q1,7608,,,
Arrecife,35004,Mujeres,F,Tiempo completo,FT,2015 Primer trimestre,2015-Q1,6521,,,
Arrecife,35004,Hombres,M,Tiempo completo,FT,2015 Segundo trimestre,2015-Q2,7870,,,
Arrecife,35004,Mujeres,F,Tiempo completo,FT,2015 Segundo trimestre,2015-Q2,6560,,,
Arrecife,35004,Hombres,M,Tiempo completo,FT,2015 Tercer trimestre,2015-Q3,7971,,,
Arrecife,35004,Mujeres,F,Tiempo completo,FT,2015 Tercer trimestre,2015-Q3,6748,,,
Arrecife,35004,Hombres,M,Tiempo completo,FT,2015 Cuarto trimestre,2015-Q4,8059,,,
Arrecife,35004,Mujeres,F,Tiempo completo,FT,2015 Cuarto trimestre,2015-Q4,6834,,,
Arrecife,35004,Hombres,M,Tiempo completo,FT,2016 Primer trimestre,2016-Q1,8296,,,
Arrecife,35004,Mujeres,F,Tiempo completo,FT,2016 Primer trimestre,2016-Q1,6778,,,
Arrecife,35004,Hombres,M,Tiempo completo,FT,2016 Segundo trimestre,2016-Q2,8588,,,
Arrecife,35004,Mujeres,F,Tiempo completo,FT,2016 Segundo trimestre,2016-Q2,6858,,,
Arrecife,35004,Hombres,M,Tiempo completo,FT,2016 Tercer trimestre,2016-Q3,8901,,,
Arrecife,35004,Mujeres,F,Tiempo completo,FT,2016 Tercer trimestre,2016-Q3,7059,,,
Arrecife,35004,Hombres,M,Tiempo completo,FT,2016 Cuarto trimestre,2016-Q4,9017,,,
Arrecife,35004,Mujeres,F,Tiempo completo,FT,2016 Cuarto trimestre,2016-Q4,7281,,,
Arrecife,35004,Hombres,M,Tiempo completo,FT,2017 Primer trimestre,2017-Q1,9210,,,
Arrecife,35004,Mujeres,F,Tiempo completo,FT,2017 Primer trimestre,2017-Q1,7309,,,
Arrecife,35004,Hombres,M,Tiempo completo,FT,2017 Segundo trimestre,2017-Q2,9539,,,
Arrecife,35004,Mujeres,F,Tiempo completo,FT,2017 Segundo trimestre,2017-Q2,7407,,,
Arrecife,35004,Hombres,M,Tiempo completo,FT,2017 Tercer trimestre,2017-Q3,9881,,,
Arrecife,35004,Mujeres,F,Tiempo completo,FT,2017 Tercer trimestre,2017-Q3,7861,,,
Arrecife,35004,Hombres,M,Tiempo completo,FT,2017 Cuarto trimestre,2017-Q4,9737,,,
Arrecife,35004,Mujeres,F,Tiempo completo,FT,2017 Cuarto trimestre,2017-Q4,7776,,,
Arrecife,35004,Hombres,M,Tiempo completo,FT,2018 Primer trimestre,2018-Q1,10137,,,
Arrecife,35004,Mujeres,F,Tiempo completo,FT,2018 Primer trimestre,2018-Q1,7785,,,
Arrecife,35004,Hombres,M,Tiempo completo,FT,2018 Segundo trimestre,2018-Q2,10252,,,
Arrecife,35004,Mujeres,F,Tiempo completo,FT,2018 Segundo trimestre,2018-Q2,7934,,,
Arrecife,35004,Hombres,M,Tiempo completo,FT,2018 Tercer trimestre,2018-Q3,10529,,,
Arrecife,35004,Mujeres,F,Tiempo completo,FT,2018 Tercer trimestre,2018-Q3,8139,,,
Arrecife,35004,Hombres,M,Tiempo completo,FT,2018 Cuarto trimestre,2018-Q4,10417,,,
Arrecife,35004,Mujeres,F,Tiempo completo,FT,2018 Cuarto trimestre,2018-Q4,8153,,,
Arrecife,35004,Hombres,M,Tiempo completo,FT,2019 Primer trimestre,2019-Q1,10354,,,
Arrecife,35004,Mujeres,F,Tiempo completo,FT,2019 Primer trimestre,2019-Q1,8032,,,
Arrecife,35004,Hombres,M,Tiempo completo,FT,2019 Segundo trimestre,2019-Q2,10639,,,
Arrecife,35004,Mujeres,F,Tiempo completo,FT,2019 Segundo trimestre,2019-Q2,8213,,,
Arrecife,35004,Hombres,M,Tiempo completo,FT,2019 Tercer trimestre,2019-Q3,10545,,,
Arrecife,35004,Mujeres,F,Tiempo completo,FT,2019 Tercer trimestre,2019-Q3,8284,,,
Arrecife,35004,Hombres,M,Tiempo completo,FT,2019 Cuarto trimestre,2019-Q4,10500,,,
Arrecife,35004,Mujeres,F,Tiempo completo,FT,2019 Cuarto trimestre,2019-Q4,8323,,,
